소관,입출분류,회계분류,계정,장(분야),관(부문),항(프로그램),금액_원안,계정별합계_원안,회계분류별합계_원안,소관총계_원안,증감액,수정금액_확정안,회계분류별합계_확정안,소관총계_확정안
중소벤처기업부,세출,국가균형발전특별회계,지역지원계정,산업.중소기업및에너지,중소기업및소상공인육성,지역중소기업육성,193188000000,,,,0,193188000000,,
중소벤처기업부,세출,국가균형발전특별회계,제주특별자치도계정,산업.중소기업및에너지,산업.중소기업일반,중소기업행정지원,1401000000,7119000000,,,0,1401000000,,
중소벤처기업부,세출,국가균형발전특별회계,제주특별자치도계정,산업.중소기업및에너지,창업및벤처,창업환경조성,228000000,,,,0,228000000,,
중소벤처기업부,세출,국가균형발전특별회계,제주특별자치도계정,산업.중소기업및에너지,중소기업및소상공인육성,소상공인.전통시장지원,5490000000,,,,0,5490000000,,
중소벤처기업부,세출,국가균형발전특별회계,세종특별자치시계정,산업.중소기업및에너지,창업및벤처,창업환경조성,114000000,4086000000,,,0,114000000,,
중소벤처기업부,세출,국가균형발전특별회계,세종특별자치시계정,산업.중소기업및에너지,중소기업및소상공인육성,지역중소기업육성,3972000000,,,,500000000,4472000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,보훈심사및보상,4226252000000,,5325203000000,5348052000000,0,4226252000000,5346322000000,5369171000000
국가보훈처,세출,일반회계,-,사회복지,보훈,보훈단체지원,31082000000,,,,1750000000,32832000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,보훈의료복지,698136000000,,,,0,698136000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,생활안정지원,29857000000,,,,0,29857000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,보훈선양,67921000000,,,,1657000000,69578000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,보훈예우 및 국립묘지,72901000000,,,,1957000000,74858000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,제대군인지원,23361000000,,,,99000000,23460000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,보훈행정,115146000000,,,,0,115146000000,,
국가보훈처,세출,일반회계,-,사회복지,보훈,회계기금간거래,60547000000,,,,15656000000,76203000000,,
국가보훈처,세출,에너지및자원사업특별회계,투자계정,사회복지,보훈,보훈의료복지,20831000000,20831000000,20831000000,,0,20831000000,20831000000,
국가보훈처,세출,국가균형발전특별회계,제주특별자치도계정,사회복지,보훈,보훈행정,2018000000,2018000000,2018000000,,0,2018000000,2018000000,
인사혁신처,세출,일반회계,-,일반.지방행정,정부자원관리,인사관리,97767000000,,2968002000000,2968002000000,-100000000,97667000000,2967912000000,2967912000000
인사혁신처,세출,일반회계,-,일반.지방행정,정부자원관리,국가인재원교육운영,15124000000,,,,10000000,15134000000,,
인사혁신처,세출,일반회계,-,일반.지방행정,일반행정,인사혁신행정지원,80458000000,,,,0,80458000000,,
인사혁신처,세출,일반회계,-,사회복지,공적연금,회계기금간거래(공무원연금부담금),2774653000000,,,,0,2774653000000,,
법제처,세출,일반회계,-,일반.지방행정,일반행정,정부입법 총괄 지원,36608000000,,36608000000,36608000000,-429000000,36179000000,36179000000,36179000000
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,식품안전성제고,42202000000,,496358000000,503252000000,1212000000,43414000000,504133000000,511027000000
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,위해관리 선진화,21359000000,,,,0,21359000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,식생활영양 안전성 제고,61310000000,,,,4833000000,66143000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,식품기준규격관리 선진화,6830000000,,,,0,6830000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,수입식품 안전성 제고,7059000000,,,,0,7059000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,의약품안전성제고,25563000000,,,,1249000000,26812000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,바이오생약 안전성 제고,8744000000,,,,0,8744000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,의료기기안전성제고,8667000000,,,,500000000,9167000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,과학적 안전관리 연구 및 허가심사 안전성 제고,99960000000,,,,0,99960000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,지방청운영,8267000000,,,,0,8267000000,,
식품의약품안전처,세출,일반회계,-,보건,식품의약안전,식의약품행정지원,206397000000,,,,-19000000,206378000000,,
식품의약품안전처,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,농업.농촌,농축수산물 안전성 제고,2414000000,2414000000,2414000000,,0,2414000000,2414000000,
식품의약품안전처,세출,국가균형발전특별회계,지역지원계정,보건,식품의약안전,식품안전성제고,4351000000,4351000000,4480000000,,0,4351000000,4480000000,
식품의약품안전처,세출,국가균형발전특별회계,제주특별자치도계정,보건,식품의약안전,식품안전성제고,129000000,129000000,,,0,129000000,,
국가인권위원회,세출,일반회계,-,일반.지방행정,일반행정,인권보호 및 향상,36970000000,,36970000000,36970000000,-287000000,36683000000,36683000000,36683000000
방송통신위원회,세출,일반회계,-,통신,방송통신,방송통신인터넷환경조성,28633000000,,62922000000,62922000000,0,28633000000,62772000000,62772000000
방송통신위원회,세출,일반회계,-,통신,방송통신,방송통신행정지원,34289000000,,,,-150000000,34139000000,,
공정거래위원회,세출,일반회계,-,일반.지방행정,일반행정,경쟁촉진,14131000000,,131459000000,131459000000,-533000000,13598000000,131295000000,131295000000
공정거래위원회,세출,일반회계,-,일반.지방행정,일반행정,중소기업 경쟁여건 개선,1497000000,,,,232000000,1729000000,,
공정거래위원회,세출,일반회계,-,일반.지방행정,일반행정,소비자후생 증진,51451000000,,,,415000000,51866000000,,
공정거래위원회,세출,일반회계,-,일반.지방행정,일반행정,공정거래 행정지원,64380000000,,,,-278000000,64102000000,,
금융위원회,세출,일반회계,-,일반.지방행정,재정.금융,금융정책,8000000000,,3102155000000,3102155000000,-105000000,7895000000,2992125000000,2992125000000
금융위원회,세출,일반회계,-,일반.지방행정,재정.금융,자금세탁방지시스템선진화,16543000000,,,,0,16543000000,,
